Category,File Name,Title,Creator,Description,Keywords,Artwork_Type,SpacesSet,flickrid,flickrpageurl,flickrimageurl,flickrimageurl_text,username,nsid,pathalias
SET 27,4770545646.jpg,"Statue, Temple, and Friends",NA,doctorberat,"doctorberat: timewemet2010,The Metropolitan Museum of Art: mma:itwm2010=accepted,Family Photos school year 2009-2010 and early summer,3D,Artwork,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4770545646,https://www.flickr.com/photos/51878047@N08/4770545646/,http://c2.staticflickr.com/5/4094/4770545646_0ec645ba28.jpg,http://c2.staticflickr.com/5/4094/4770545646_0ec645ba28.jpg,doctorberat,51878047@N08,
SET 27,4771686013.jpg,DSC00510,NA,kloppm1,"kloppm1: metropolitanmuseum,3D,Artwork,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4771686013,https://www.flickr.com/photos/37987065@N08/4771686013/,http://c2.staticflickr.com/5/4099/4771686013_6980e1b6a0.jpg,http://c2.staticflickr.com/5/4099/4771686013_6980e1b6a0.jpg,kloppm1,37987065@N08,
SET 27,4774263089.jpg,NA,mist_and_reflections,NA,"mist_and_reflections: themet,mist_and_reflections: metropolitianmuseumofart,mist_and_reflections: museum,mist_and_reflections: nyc,mist_and_reflections: newyorkcity,mist_and_reflections: manhattan,mist_and_reflections: bw,mist_and_reflections: blackandwhite,mist_and_reflections: monochrome,mist_and_reflections: metropolitanmuseum,3D,Artwork,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4774263089,https://www.flickr.com/photos/middle-of-nowhere-with-jesse/4774263089/,http://c2.staticflickr.com/5/4143/4774263089_44aa0c50f8.jpg,http://c2.staticflickr.com/5/4143/4774263089_44aa0c50f8.jpg,mist_and_reflections,18840475@N07,middle-of-nowhere-with-jesse
SET 27,4777050485.jpg,Roman court,<a href=http://video.nytimes.com/video/2007/04/19/arts/1194817123234/the-met-s-new-galleries.html rel=nofollow>video.nytimes.com/video/2007/04/19/arts/1194817123234/the...</a>;The Metropolitan Museum of Art;New York City;;<a href=http://www.plosone.org/article/info:doi/10.1371/journal.pone.0032998 rel=nofollow>www.plosone.org/article/info:doi/10.1371/journal.pone.003...</a>;Creating Non-Believed Memories,ivanich,"ivanich: badminton,ivanich: sarcophagus,ivanich: roman,ivanich: pulitzer,ivanich: themetropolitanmuseumofart,ivanich: threegraces,ivanich: leonlevy,ivanich: badmintonsarcophagus,ivanich: builtenvironment,ivanich: themet,ivanich: romancourt,ivanich: ivanich,ivanich: memories,3D,Artwork,Inhabited,Roman,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4777050485,https://www.flickr.com/photos/12745314@N07/4777050485/,http://c2.staticflickr.com/5/4115/4777050485_e55a6851b9.jpg,http://c2.staticflickr.com/5/4115/4777050485_e55a6851b9.jpg,ivanich,12745314@N07,
SET 27,4780059558.jpg,Greek and Roman Galleries,NA,Trish Mayo,"Trish Mayo: greekandromangalleries,Trish Mayo: light,Trish Mayo: architecture,Trish Mayo: columns,Trish Mayo: metropolitanmuseumofart,Trish Mayo: metmuseum,Trish Mayo: newyork,Trish Mayo: noncoloursincolour,Trish Mayo: wideangle,Trish Mayo: temple,Trish Mayo: gununeniyisi,Trish Mayo: thebestofday,3D,Artwork,Inhabited,Roman,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4780059558,https://www.flickr.com/photos/obsessivephotography/4780059558/,http://c2.staticflickr.com/5/4137/4780059558_4b433a988f.jpg,http://c2.staticflickr.com/5/4137/4780059558_4b433a988f.jpg,Trish Mayo,97402095@N00,obsessivephotography
SET 27,4780789451.jpg,CCF06042010_00009,NA,awwsweetie,"awwsweetie: themet,awwsweetie: metropolitanmuseumofartfisheyelomographylomocolornegative4002009manhattannyc,awwsweetie: metropolitanmuseumofartfisheyelomographylomocolorneg,Stylized,3D,Artwork,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4780789451,https://www.flickr.com/photos/30676033@N00/4780789451/,http://c2.staticflickr.com/5/4102/4780789451_9b4cef9230.jpg,http://c2.staticflickr.com/5/4102/4780789451_9b4cef9230.jpg,awwsweetie,30676033@N00,
SET 27,4780789611.jpg,CCF06042010_00010,NA,awwsweetie,"awwsweetie: themet,awwsweetie: metropolitanmuseumofartfisheyelomographylomocolornegative4002009manhattannyc,awwsweetie: metropolitanmuseumofartfisheyelomographylomocolorneg,Stylized,3D,Artwork,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4780789611,https://www.flickr.com/photos/30676033@N00/4780789611/,http://c2.staticflickr.com/5/4096/4780789611_2290c84c0b.jpg,http://c2.staticflickr.com/5/4096/4780789611_2290c84c0b.jpg,awwsweetie,30676033@N00,
SET 27,4780789759.jpg,CCF06042010_00011,NA,awwsweetie,"awwsweetie: themet,awwsweetie: metropolitanmuseumofartfisheyelomographylomocolornegative4002009manhattannyc,awwsweetie: metropolitanmuseumofartfisheyelomographylomocolorneg,Stylized,3D,Artwork,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4780789759,https://www.flickr.com/photos/30676033@N00/4780789759/,http://c2.staticflickr.com/5/4095/4780789759_801c018b9e.jpg,http://c2.staticflickr.com/5/4095/4780789759_801c018b9e.jpg,awwsweetie,30676033@N00,
SET 27,4781424330.jpg,CCF06042010_00008,NA,awwsweetie,"awwsweetie: themet,awwsweetie: metropolitanmuseumofartfisheyelomographylomocolornegative4002009manhattannyc,awwsweetie: metropolitanmuseumofartfisheyelomographylomocolorneg,Stylized,3D,Artwork,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4781424330,https://www.flickr.com/photos/30676033@N00/4781424330/,http://c2.staticflickr.com/5/4079/4781424330_e9d8158833.jpg,http://c2.staticflickr.com/5/4079/4781424330_e9d8158833.jpg,awwsweetie,30676033@N00,
SET 27,4799635544.jpg,Greek and Roman Art at the Met,New  Yorkled,"This particular gallery at the Metropolitan Museum of Art is quite something and one of my fave sections. Walking about and taking in all the sights, artwork, shadowplay and atmosphere would take a person more than a full day...'actually methinks it'd take one week to be able to see everything within. Highly recommended for anyone visiting NYC.;;Here's wishing all a wonderful weekend. Gonna be mighty hot yet again in our area for the next several days. Uggggghhhhhhh. LOL.;;:-);;New Yorkled;<a href=http://www.newyorkled.com rel=nofollow>www.newyorkled.com</a>","New Yorkled: nyc,New Yorkled: newyorkcity,New Yorkled: museum,New Yorkled: met,New Yorkled: metropolitan,New Yorkled: art,New Yorkled: greek,New Yorkled: roman,New Yorkled: nikon,New Yorkled: d700,New Yorkled: sigma,New Yorkled: 1224,New Yorkled: s1224,Description,Observation,3D,Artwork,Inhabited,Roman,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4799635544,https://www.flickr.com/photos/new-yorkled/4799635544/,http://c2.staticflickr.com/5/4142/4799635544_d9540f6251.jpg,http://c2.staticflickr.com/5/4142/4799635544_d9540f6251.jpg,New  Yorkled,7672965@N02,new-yorkled
SET 27,4803051264.jpg,Marble Statue of Youthful Hercules,thoth1618,"Marble Statue of Youthful Hercules; Roman, Flavian period, A.D. 68 - 98","thoth1618: themetropolitanmuseumofart,thoth1618: met,thoth1618: museum,thoth1618: nyc,thoth1618: newyorkcity,thoth1618: manhattan,thoth1618: gothamist,thoth1618: art,thoth1618: museumofart,thoth1618: marble,thoth1618: statue,thoth1618: youthful,thoth1618: hercules,thoth1618: heracles,thoth1618: marblestatueofyouthfulhercules,thoth1618: marblestatueofyouthfulheracles,thoth1618: metropolitanmuseum,thoth1618: photooftheday,3D,Artwork,Roman,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4803051264,https://www.flickr.com/photos/thoth1618/4803051264/,http://c2.staticflickr.com/5/4101/4803051264_abde17fe1a.jpg,http://c2.staticflickr.com/5/4101/4803051264_abde17fe1a.jpg,thoth1618,8575782@N02,thoth1618
